-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            c10d::recv_         0.39%       5.206ms         0.39%       5.206ms      40.674us       0.000us         0.00%       0.000us       0.000us           128  
                                              gloo:recv         0.00%       0.000us             0        1.451s      11.339ms       0.000us         0.00%       0.000us       0.000us           128  
                                             aten::item         0.01%     119.336us         0.01%     183.181us       5.724us       0.000us         0.00%       0.000us       0.000us            32  
                              aten::_local_scalar_dense         0.00%      63.845us         0.00%      63.845us       1.995us       0.000us         0.00%       0.000us       0.000us            32  
                                           aten::detach         0.01%      86.574us         0.01%      86.574us       2.705us       0.000us         0.00%       0.000us       0.000us            32  
                                               aten::to         0.03%     390.561us         0.49%       6.496ms      28.998us       0.000us         0.00%     833.970us       3.723us           224  
                                     aten::resolve_conj         0.00%      48.782us         0.00%      48.782us       0.762us       0.000us         0.00%       0.000us       0.000us            64  
                                      aten::resolve_neg         0.00%      14.570us         0.00%      14.570us       0.228us       0.000us         0.00%       0.000us       0.000us            64  
                                          aten::reshape         0.04%     469.362us         0.07%     959.070us       2.725us       0.000us         0.00%       0.000us       0.000us           352  
                                             aten::view         0.05%     706.875us         0.05%     706.875us       1.699us       0.000us         0.00%       0.000us       0.000us           416  
                                           aten::select         1.02%      13.500ms         1.64%      21.701ms       4.186us       0.000us         0.00%       0.000us       0.000us          5184  
                                       aten::as_strided         1.04%      13.773ms         1.04%      13.774ms       1.160us       0.000us         0.00%       0.000us       0.000us         11872  
                   execute_context_1(4)_generation_0(0)         0.70%       9.293ms         2.92%      38.647ms      38.647ms       0.000us         0.00%       2.916ms       2.916ms             1  
                                            aten::slice         0.65%       8.624ms         0.86%      11.408ms       2.971us       0.000us         0.00%       0.000us       0.000us          3840  
                                         hipMemcpyAsync         0.31%       4.169ms         0.31%       4.169ms      11.844us       0.000us         0.00%       0.000us       0.000us           352  
                                       aten::lift_fresh         0.00%      26.592us         0.00%      26.592us       0.831us       0.000us         0.00%       0.000us       0.000us            32  
                                          aten::flatten         0.01%      84.974us         0.02%     258.426us       8.076us       0.000us         0.00%       0.000us       0.000us            32  
                                     aten::index_select         0.02%     200.325us         0.02%     200.325us       6.260us       0.000us         0.00%       0.000us       0.000us            32  
                                        hipLaunchKernel         0.26%       3.508ms         0.26%       3.508ms       9.965us       0.000us         0.00%       0.000us       0.000us           352  
                                            aten::fill_         0.03%     394.252us         0.03%     394.252us       6.160us       0.000us         0.00%       0.000us       0.000us            64  
                                       vllm::all_gather         0.68%       9.033ms         2.05%      27.120ms     282.498us       0.000us         0.00%      14.147ms     147.366us            96  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.325s
Self CUDA time total: 1.178s

